algo,no,precision,dm,cm,entropy,discern,ilm,acc
mondrian,114,0.4331752744647481,0.6275,0.22135135135135134,0.8098971669877436,0.00033546384222059896,0.04586897226173543,0.4945945945945946
datafly,115,0.033333333333333215,0.0625,0.3620270270270271,0.9640814482050676,0.3332592403214025,0.046135757467994316,0.5054054054054054
datafly_shuffled,115,0.04164977477477472,0.085,0.3998648648648649,0.9400587291797086,0.0923445215485756,0.04821799431009958,0.5608108108108109
mondrian,115,0.43468648101542817,0.6325,0.23243243243243245,0.8074139372994837,0.00033425858290723164,0.046317176386913225,0.4945945945945946
datafly,116,0.033328828828828934,0.08,0.415945945945946,0.9689205242377916,0.3443304236669101,0.04643783783783785,0.5054054054054054
datafly_shuffled,116,0.03332432432432453,0.085,0.3889189189189189,0.9365337714197468,0.07148619430241053,0.04843134779516359,0.5824324324324325
mondrian,116,0.41496805813911053,0.6025,0.2631081081081081,0.8194867196284747,0.0005196859021183347,0.045567638691322916,0.4945945945945946
datafly,117,0.044001126126126056,0.0725,0.3224324324324324,0.9682840317528616,0.3909434258582907,0.04672421763869133,0.5054054054054054
datafly_shuffled,117,0.016666666666666833,0.0225,0.4614864864864865,0.9669456354852034,0.2733150840029218,0.04914918207681366,0.5405405405405406
mondrian,117,0.4065767315898895,0.5925,0.2744594594594595,0.8283980168228186,0.0007202702702702702,0.04532773826458037,0.4945945945945946
datafly,118,0.033324324324324306,0.085,0.4068918918918919,0.9743729065466824,0.492490357925493,0.046549768847795145,0.5054054054054054
datafly_shuffled,118,0.06546846846846832,0.0925,0.3264864864864865,0.902910118470404,0.020560883856829804,0.04751973684210523,0.5777027027027027
mondrian,118,0.43582147025568096,0.6325,0.23675675675675675,0.8084202394370158,0.00033371073776479183,0.046902987197724136,0.4945945945945946
datafly,119,0.01666666666666661,0.03,0.3789189189189189,0.9872075524384448,0.69455,0.04815469416785207,0.5054054054054054
